GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hapi-fhir,ca.uhn.fhir.jpa.msbpmn,BpmnProvider,21,5,0,0,4,2,2,2,2,2
hapi-fhir,ca.uhn.fhir.jpa.empi,EmpiConfig,0,26,0,0,0,5,0,2,0,2
hapi-fhir,ca.uhn.fhir.jpa.starter,HapiProperties,122,472,19,25,28,127,23,80,5,76
hapi-fhir,ca.uhn.fhir.jpa.starter,BaseJpaRestfulServer,204,373,33,25,48,95,29,4,1,3
hapi-fhir,ca.uhn.fhir.jpa.starter,FhirServerConfigCommon,123,346,26,20,27,86,22,9,0,8
hapi-fhir,ca.uhn.fhir.jpa.starter,JpaRestfulServer,0,6,0,0,0,3,0,2,0,2
hapi-fhir,ca.uhn.fhir.jpa.starter,FhirTesterConfig,0,24,0,0,0,10,0,2,0,2
hapi-fhir,ca.uhn.fhir.jpa.starter,FhirServerConfigR5,50,0,0,0,16,0,4,0,4,0
hapi-fhir,ca.uhn.fhir.jpa.starter,FhirServerConfigDstu3,50,0,0,0,16,0,4,0,4,0
hapi-fhir,ca.uhn.fhir.jpa.starter,FhirServerConfigR4,7,47,0,0,2,15,0,5,0,5
hapi-fhir,ca.uhn.fhir.jpa.starter,ApplicationContext,46,98,9,9,5,19,8,2,0,1
hapi-fhir,ca.uhn.fhir.jpa.starter,FhirServerConfigDstu2,50,0,0,0,16,0,4,0,4,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.RequestPriority,156,0,34,0,43,0,29,0,6,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.RequestPriorityEnumFactory,142,0,40,0,39,0,25,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionGroupingBehavior,132,0,28,0,36,0,24,0,6,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.PlanDefinitionGoalComponent,1270,0,216,0,247,0,168,0,45,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionRelationshipTypeEnumFactory,247,0,70,0,69,0,40,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.PlanDefinitionActionConditionComponent,446,0,75,0,88,0,64,0,24,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.PlanDefinitionActionParticipantComponent,154,0,38,0,31,0,31,0,12,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.PlanDefinitionActionRelatedActionComponent,747,0,134,0,133,0,108,0,34,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionSelectionBehaviorEnumFactory,184,0,52,0,51,0,31,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition,5953,160,1072,0,1108,32,816,2,203,2
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.PlanDefinitionActionComponent,5891,0,1048,0,1044,0,781,0,184,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.PlanDefinitionActionDynamicValueComponent,427,0,77,0,85,0,64,0,23,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionCardinalityBehavior,108,0,22,0,29,0,19,0,6,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionCardinalityBehaviorEnumFactory,100,0,28,0,27,0,19,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionParticipantTypeEnumFactory,142,0,40,0,39,0,25,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionConditionKind,132,0,28,0,36,0,24,0,6,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionRelationshipType,276,0,64,0,78,0,54,0,6,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionPrecheckBehaviorEnumFactory,100,0,28,0,27,0,19,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionRequiredBehaviorEnumFactory,121,0,34,0,33,0,22,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionSelectionBehavior,204,0,46,0,57,0,39,0,6,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.PlanDefinitionGoalTargetComponent,702,0,127,0,126,0,100,0,29,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionPrecheckBehavior,108,0,22,0,29,0,19,0,6,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionConditionKindEnumFactory,121,0,34,0,33,0,22,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionParticipantType,156,0,34,0,43,0,29,0,6,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionGroupingBehaviorEnumFactory,121,0,34,0,33,0,22,0,5,0
hapi-fhir,org.hl7.fhir.r4.model,PlanDefinition.ActionRequiredBehavior,132,0,28,0,36,0,24,0,6,0
