GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.backboneprocessors,PlanDefinitionBackboneGraphParticipantsProcessor,10,161,3,15,0,32,3,13,0,7
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.backboneprocessors,PlanDefinitionBackboneGraphTriggerProcessor,1,86,1,3,0,21,1,6,0,5
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.backboneprocessors,PlanDefinitionBackboneGraphVerticesProcessor,14,255,6,20,2,45,6,12,0,5
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.backboneprocessors,MultiPlanDefinitionBackboneGraphComponentProcessor,0,20,0,0,0,3,0,3,0,3
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.backboneprocessors,PlanDefinitionBackboneGraphStartAndEndProcessor,15,205,3,11,0,36,3,9,0,5
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.helper,PlanDefinitionActionDataComponent,5,7,0,0,1,3,1,1,1,1
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.helper,BackboneIdProvider,5,7,0,0,1,3,1,1,1,1
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.helper,IdProvider,0,7,0,0,0,3,0,1,0,1
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.traversal,FhirGraphTraversalStrategy,28,260,2,16,5,55,4,18,2,11
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,TimedEventCondition,0,28,0,2,0,4,0,5,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,TimedStartEventCondition,0,17,0,0,0,2,0,2,0,2
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,SubprocessCondition,0,14,0,0,0,4,0,3,0,3
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,EndEventCondition,0,20,0,0,0,4,0,4,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,ConditionalEventCondition,0,28,0,2,0,4,0,5,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,SequenceFlowRendererCondition,1,28,1,1,0,6,1,4,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,StartEventCondition,0,20,0,0,0,4,0,4,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,ExclusiveGatewayCondition,0,76,1,15,0,13,1,11,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,ParallelGatewayCondition,0,62,1,11,0,12,1,9,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,UserTaskCondition,0,40,0,4,0,8,0,7,0,5
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,PlanDefinitionActionStartEventCondition,0,28,0,0,0,9,0,4,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,PlanDefinitionActionEndEventCondition,0,16,0,2,0,4,0,4,0,3
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.impl.renderer.condition,StartConditionalEventCondition,0,17,0,0,0,2,0,2,0,2
hapi-fhir/transformation,science.aist.msbpmn.service.configuration,TransformationConfiguration,0,150,0,0,0,17,0,19,0,19
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.renderer,AbstractBpmnEventDefinitionTransformationRenderer,0,30,0,0,0,5,0,4,0,4
hapi-fhir/transformation,science.aist.msbpmn.service.transformation.renderer,AbstractTFlowNodeBpmnGraphTransformationRenderer,10,83,3,9,0,13,3,5,0,2
